"channel","lambda","y","xhat","Jhat","score"
"Gaussian",0,-2.888,-0.921751550907227,-2.84350310181449,-0.921751550907227
"Gaussian",0,-2.884,-0.921607523710375,-2.84321504742076,-0.921607523710375
"Gaussian",0,-2.88,-0.921462998904225,-2.84292599780845,-0.921462998904225
"Gaussian",0,-2.876,-0.921317974057189,-2.84263594811441,-0.921317974057189
"Gaussian",0,-2.872,-0.921172446722769,-2.84234489344557,-0.921172446722769
"Gaussian",0,-2.868,-0.921026414439397,-2.84205282887881,-0.921026414439397
"Gaussian",0,-2.864,-0.92087987473038,-2.84175974946077,-0.92087987473038
"Gaussian",0,-2.86,-0.920732825103776,-2.84146565020756,-0.920732825103776
"Gaussian",0,-2.856,-0.920585263052241,-2.84117052610452,-0.920585263052241
"Gaussian",0,-2.852,-0.920437186053006,-2.84087437210602,-0.920437186053006
"Gaussian",0,-2.848,-0.920288591567678,-2.84057718313536,-0.920288591567678
"Gaussian",0,-2.844,-0.920139477042192,-2.84027895408443,-0.920139477042192
"Gaussian",0,-2.84,-0.919989839906644,-2.83997967981331,-0.919989839906644
"Gaussian",0,-2.836,-0.919839677575213,-2.83967935515044,-0.919839677575213
"Gaussian",0,-2.832,-0.919688987446018,-2.83937797489207,-0.919688987446018
"Gaussian",0,-2.828,-0.919537766901062,-2.83907553380213,-0.919537766901062
"Gaussian",0,-2.824,-0.919386013306014,-2.83877202661206,-0.919386013306014
"Gaussian",0,-2.82,-0.919233724010169,-2.83846744802034,-0.919233724010169
"Gaussian",0,-2.816,-0.919080896346307,-2.83816179269263,-0.919080896346307
"Gaussian",0,-2.812,-0.918927527630591,-2.8378550552612,-0.918927527630591
"Gaussian",0,-2.808,-0.91877361516238,-2.83754723032478,-0.91877361516238
"Gaussian",0,-2.804,-0.918619156224197,-2.83723831244842,-0.918619156224197
"Gaussian",0,-2.8,-0.91846414808153,-2.8369282961631,-0.91846414808153
"Gaussian",0,-2.796,-0.918308587982756,-2.83661717596554,-0.918308587982756
"Gaussian",0,-2.792,-0.918152473159002,-2.83630494631802,-0.918152473159002
"Gaussian",0,-2.788,-0.917995800823986,-2.83599160164801,-0.917995800823986
"Gaussian",0,-2.784,-0.917838568173959,-2.83567713634793,-0.917838568173959
"Gaussian",0,-2.78,-0.917680772387515,-2.83536154477505,-0.917680772387515
"Gaussian",0,-2.776,-0.917522410625475,-2.83504482125095,-0.917522410625475
"Gaussian",0,-2.772,-0.917363480030784,-2.83472696006159,-0.917363480030784
"Gaussian",0,-2.768,-0.917203977728347,-2.83440795545673,-0.917203977728347
"Gaussian",0,-2.764,-0.917043900824913,-2.83408780164984,-0.917043900824913
"Gaussian",0,-2.76,-0.91688324640893,-2.83376649281788,-0.91688324640893
"Gaussian",0,-2.756,-0.916722011550448,-2.8334440231009,-0.916722011550448
"Gaussian",0,-2.752,-0.916560193300897,-2.83312038660181,-0.916560193300897
"Gaussian",0,-2.748,-0.916397788693064,-2.83279557738614,-0.916397788693064
"Gaussian",0,-2.744,-0.916234794740856,-2.83246958948174,-0.916234794740856
"Gaussian",0,-2.74,-0.916071208439214,-2.83214241687844,-0.916071208439214
"Gaussian",0,-2.736,-0.915907026763984,-2.83181405352797,-0.915907026763984
"Gaussian",0,-2.732,-0.915742246671704,-2.83148449334342,-0.915742246671704
"Gaussian",0,-2.728,-0.915576865099546,-2.8311537301991,-0.915576865099546
"Gaussian",0,-2.724,-0.915410878965103,-2.83082175793021,-0.915410878965103
"Gaussian",0,-2.72,-0.915244285166316,-2.83048857033266,-0.915244285166316
"Gaussian",0,-2.716,-0.915077080581259,-2.83015416116254,-0.915077080581259
"Gaussian",0,-2.712,-0.914909262068032,-2.82981852413607,-0.914909262068032
"Gaussian",0,-2.708,-0.914740826464573,-2.82948165292917,-0.914740826464573
"Gaussian",0,-2.704,-0.914571770588586,-2.82914354117721,-0.914571770588586
"Gaussian",0,-2.7,-0.914402091237288,-2.82880418247459,-0.914402091237288
"Gaussian",0,-2.696,-0.914231785187337,-2.82846357037468,-0.914231785187337
"Gaussian",0,-2.692,-0.914060849194647,-2.82812169838929,-0.914060849194647
"Gaussian",0,-2.688,-0.913889279994228,-2.82777855998845,-0.913889279994228
"Gaussian",0,-2.684,-0.913717074300021,-2.82743414860006,-0.913717074300021
"Gaussian",0,-2.68,-0.91354422880481,-2.82708845760962,-0.91354422880481
"Gaussian",0,-2.676,-0.913370740179953,-2.82674148035992,-0.913370740179953
"Gaussian",0,-2.672,-0.913196605075305,-2.82639321015064,-0.913196605075305
"Gaussian",0,-2.668,-0.913021820119025,-2.82604364023807,-0.913021820119025
"Gaussian",0,-2.664,-0.91284638191742,-2.82569276383486,-0.91284638191742
"Gaussian",0,-2.66,-0.912670287054788,-2.82534057410961,-0.912670287054788
"Gaussian",0,-2.656,-0.912493532093241,-2.82498706418648,-0.912493532093241
"Gaussian",0,-2.652,-0.912316113572536,-2.82463222714508,-0.912316113572536
