"channel","n","lambda","probability","ci_lower","ci_upper","collapse_coordinate","channel_display","population_label"
"Laplace",25,0.2,0.9999,0.999433731102599,0.999982347326399,-3.39095876192401,"Laplace","n = 25"
"Laplace",25,0.25,0.9995,0.998829974053858,0.999786411573836,-3.17902383930376,"Laplace","n = 25"
"Laplace",25,0.3,0.9973,0.996074405846301,0.998143669374224,-2.96708891668351,"Laplace","n = 25"
"Laplace",25,0.35,0.9924,0.99049862266858,0.993923215735978,-2.75515399406325,"Laplace","n = 25"
"Laplace",25,0.4,0.9831,0.980381841081309,0.985447139692943,-2.543219071443,"Laplace","n = 25"
"Laplace",25,0.45,0.9663,0.962580220742288,0.969661662377219,-2.33128414882275,"Laplace","n = 25"
"Laplace",25,0.5,0.9431,0.938387249608755,0.947472451035152,-2.1193492262025,"Laplace","n = 25"
"Laplace",25,0.55,0.9137,0.908036197085638,0.919046082662464,-1.90741430358225,"Laplace","n = 25"
"Laplace",25,0.6,0.8762,0.869599957806104,0.882511121819799,-1.695479380962,"Laplace","n = 25"
"Laplace",25,0.65,0.8318,0.824341766101743,0.839003412579476,-1.48354445834175,"Laplace","n = 25"
"Laplace",25,0.7,0.7874,0.779271285983252,0.795307991753283,-1.2716095357215,"Laplace","n = 25"
"Laplace",25,0.75,0.7386,0.729897514188916,0.747119241788597,-1.05967461310125,"Laplace","n = 25"
"Laplace",25,0.8,0.688,0.678848559113973,0.697007057498652,-0.847739690481001,"Laplace","n = 25"
"Laplace",25,0.85,0.639,0.62953475888944,0.648358489563512,-0.635804767860751,"Laplace","n = 25"
"Laplace",25,0.9,0.5927,0.583036264879256,0.602292541822821,-0.423869845240501,"Laplace","n = 25"
"Laplace",25,0.95,0.5491,0.539330545645001,0.558831745714999,-0.21193492262025,"Laplace","n = 25"
"Laplace",25,1,0.5053,0.495500576876287,0.515095352740984,0,"Laplace","n = 25"
"Laplace",25,1.05,0.4653,0.4555390011546,0.475087648332325,0.211934922620251,"Laplace","n = 25"
"Laplace",25,1.1,0.426,0.416338337187617,0.435718494571243,0.423869845240501,"Laplace","n = 25"
"Laplace",25,1.15,0.389,0.379489081777891,0.398596165860399,0.635804767860752,"Laplace","n = 25"
"Laplace",25,1.2,0.3577,0.348361726266943,0.367147559669351,0.847739690481002,"Laplace","n = 25"
"Laplace",25,1.25,0.3297,0.320553060047001,0.338977729798052,1.05967461310125,"Laplace","n = 25"
"Laplace",25,1.3,0.3033,0.294367310729101,0.312383754229923,1.2716095357215,"Laplace","n = 25"
"Laplace",25,1.35,0.2769,0.268216750668548,0.285754589404448,1.48354445834175,"Laplace","n = 25"
"Laplace",25,1.4,0.2536,0.245168488688803,0.262220745708266,1.695479380962,"Laplace","n = 25"
"Laplace",25,1.45,0.2326,0.224422995617647,0.240982366710991,1.90741430358225,"Laplace","n = 25"
"Laplace",25,1.5,0.2159,0.207945725743635,0.224072462130584,2.1193492262025,"Laplace","n = 25"
"Laplace",25,1.55,0.1976,0.1899124005885,0.205519841626085,2.33128414882275,"Laplace","n = 25"
"Laplace",25,1.6,0.1811,0.17367507174088,0.188769842419938,2.543219071443,"Laplace","n = 25"
"Laplace",25,1.65,0.1663,0.159130496179686,0.173725784332904,2.75515399406326,"Laplace","n = 25"
"Laplace",25,1.7,0.1528,0.145881573113335,0.159985075355263,2.96708891668351,"Laplace","n = 25"
"Laplace",25,1.75,0.1406,0.13392491871895,0.147551099309892,3.17902383930376,"Laplace","n = 25"
"Laplace",25,1.8,0.1303,0.123843814257287,0.137040114137991,3.39095876192401,"Laplace","n = 25"
"Laplace",25,1.85,0.1196,0.113385666679145,0.126106479281266,3.60289368454426,"Laplace","n = 25"
"Laplace",25,1.9,0.1113,0.105284485679548,0.117614034653816,3.81482860716451,"Laplace","n = 25"
"Laplace",25,1.95,0.104,0.0981682829914225,0.110135843718153,4.02676352978476,"Laplace","n = 25"
"Laplace",25,2,0.0968,0.0911585485481332,0.10275110773798,4.23869845240501,"Laplace","n = 25"
"Laplace",50,0,1,0.999616001629323,1,-5.99442483820101,"Laplace","n = 50"
"Laplace",50,0.05,1,0.999616001629323,1,-5.69470359629096,"Laplace","n = 50"
"Laplace",50,0.1,1,0.999616001629323,1,-5.39498235438091,"Laplace","n = 50"
"Laplace",50,0.15,1,0.999616001629323,1,-5.09526111247086,"Laplace","n = 50"
"Laplace",50,0.2,1,0.999616001629323,1,-4.79553987056081,"Laplace","n = 50"
"Laplace",50,0.25,1,0.999616001629323,1,-4.49581862865076,"Laplace","n = 50"
"Laplace",50,0.3,0.9999,0.999433731102599,0.999982347326399,-4.19609738674071,"Laplace","n = 50"
"Laplace",50,0.35,0.9995,0.998829974053858,0.999786411573836,-3.89637614483066,"Laplace","n = 50"
"Laplace",50,0.4,0.9985,0.997526415450029,0.999090738174407,-3.59665490292061,"Laplace","n = 50"
"Laplace",50,0.45,0.9961,0.994673357685389,0.997145639131226,-3.29693366101056,"Laplace","n = 50"
"Laplace",50,0.5,0.9857,0.983179517246182,0.987847466736543,-2.99721241910051,"Laplace","n = 50"
"Laplace",50,0.55,0.9721,0.968686453419018,0.975150975319389,-2.69749117719046,"Laplace","n = 50"
